url,uid,desc
/topics/3.htm,3,ATI
/topics/9.htm,9,Apple 苹果
/topics/13.htm,13,Adobe
/topics/42.htm,42,AMD
/topics/49.htm,49,AOL / AIM
/topics/50.htm,50,Apple QuickTime
/topics/53.htm,53,ACDSee
/topics/59.htm,59,Apache OpenOffice
/topics/66.htm,66,Apple iTunes / App Store
/topics/79.htm,79,Apple Mac OS X
/topics/93.htm,93,ASUS 华硕
/topics/118.htm,118,Alcohol
/topics/157.htm,157,安全
/topics/158.htm,158,Apple Safari
/topics/169.htm,169,AnyDVD
/topics/183.htm,183,AutoDesk
/topics/188.htm,188,Avant Browser
/topics/325.htm,325,ARSwp Windows 清理助手
/topics/343.htm,343,Apple iPod
/topics/346.htm,346,avast! Antivirus
/topics/356.htm,356,Ashampoo
/topics/364.htm,364,Avira AntiVir
/topics/370.htm,370,AVG Antivirus
/topics/379.htm,379,Apple iPhone
/topics/464.htm,464,Apple iPad
/topics/535.htm,535,Apple Watch
/topics/601.htm,601,Aliyun 阿里云
/topics/77.htm,77,BitTorrent
/topics/200.htm,200,BitSpirit 比特精灵
/topics/209.htm,209,BitComet
/topics/232.htm,232,BlackIce
/topics/261.htm,261,Baidu 百度
/topics/282.htm,282,Baidu 百度音乐 / 千千静听
/topics/376.htm,376,Bluetooth 蓝牙
/topics/377.htm,377,Blu-Ray Disc 蓝光
/topics/400.htm,400,Blog 博客
/topics/411.htm,411,BlackBerry 黑莓
/topics/414.htm,414,BitDefender
/topics/419.htm,419,Blizzard 暴雪
/topics/105.htm,105,CA technologies
/topics/125.htm,125,cnBeta 原创独家
/topics/135.htm,135,cnBeta 人物 - Bill Gates
/topics/165.htm,165,cnBeta 七日谈
/topics/186.htm,186,CloneCD / CloneDVD
/topics/219.htm,219,Counter-Strike 反恐精英 / 半条命
/topics/228.htm,228,Cisco 思科
/topics/245.htm,245,cnBeta 精品软件
/topics/246.htm,246,cnBeta 精品驱动
/topics/260.htm,260,cnBeta 最新消息
/topics/291.htm,291,cnBeta 团队新闻
/topics/293.htm,293,cnBeta 精品网站
/topics/294.htm,294,CuteFTP
/topics/306.htm,306,cnBeta 访客互动
/topics/311.htm,311,cnBeta 博客文摘
/topics/316.htm,316,China Telecom 中国电信
/topics/348.htm,348,China Mobile 中国移动
/topics/350.htm,350,CCleaner
/topics/357.htm,357,CyberLink PowerDVD
/topics/358.htm,358,China Mobile Fetion 飞信
/topics/391.htm,391,China Unicom 中国联通
/topics/420.htm,420,comsenz 康盛创想 / Discuz!
/topics/424.htm,424,CHINA 中国
/topics/425.htm,425,cFos Software
/topics/430.htm,430,cnBeta 现场报道
/topics/432.htm,432,Creative 创新
/topics/466.htm,466,cnBeta 专栏
/topics/472.htm,472,Cheetah 猎豹移动 / 金山安全
/topics/479.htm,479,cnBeta 评测室
/topics/525.htm,525,Coocaa 创维酷开
/topics/82.htm,82,DELL 戴尔
/topics/121.htm,121,DVD
/topics/191.htm,191,DAEMON Tools
/topics/218.htm,218,DreamMail 梦幻快车
/topics/253.htm,253,DivX Codec
/topics/256.htm,256,电子商务 - C2C
/topics/281.htm,281,电子商务 - 支付平台
/topics/353.htm,353,电子商务 - B2C / B2B
/topics/431.htm,431,Debian GNU/Linux
/topics/54.htm,54,eMule
/topics/171.htm,171,emEditor
/topics/194.htm,194,email 电子邮件
/topics/229.htm,229,Edit+
/topics/449.htm,449,EA Games
/topics/36.htm,36,FTPRush
/topics/72.htm,72,FlashFXP
/topics/104.htm,104,FreeBSD
/topics/108.htm,108,foobar2000
/topics/166.htm,166,Flashget 快车
/topics/189.htm,189,FileZilla
/topics/262.htm,262,FlashBT
/topics/277.htm,277,Foxit Reader 福昕阅读器
/topics/280.htm,280,FeedDemon
/topics/363.htm,363,FastStone
/topics/435.htm,435,Flock
/topics/470.htm,470,Foxconn 富士康
/topics/52.htm,52,Google 谷歌
/topics/101.htm,101,GNOME
/topics/126.htm,126,GreenBrowser
/topics/142.htm,142,Google Buzz / Google Wave
/topics/192.htm,192,Google Toolbar
/topics/215.htm,215,Google Gmail
/topics/257.htm,257,Google Hangouts / Talk
/topics/275.htm,275,GoSURF
/topics/326.htm,326,Google GLASS
/topics/347.htm,347,Google Maps 地图 / Earth
/topics/373.htm,373,Google YouTube
/topics/443.htm,443,Google Chrome 谷歌浏览器
/topics/444.htm,444,Google Android
/topics/486.htm,486,Google Plus
/topics/493.htm,493,Google Drive
/topics/71.htm,71,Hasee 神舟
/topics/122.htm,122,HyperSnap
/topics/150.htm,150,Hewlett-Packard 惠普
/topics/331.htm,331,Huawei 华为
/topics/439.htm,439,HTC
/topics/32.htm,32,Intel 英特尔
/topics/58.htm,58,ICQ
/topics/87.htm,87,IBM
/topics/100.htm,100,Intel Atom
/topics/159.htm,159,Intel Core 英特尔酷睿
/topics/175.htm,175,IT与体育
/topics/354.htm,354,Internet Download Manager
/topics/403.htm,403,IM 即时通信
/topics/416.htm,416,InstallShield
/topics/421.htm,421,IT与交通
/topics/484.htm,484,iFlyTek 科大讯飞
/topics/45.htm,45,警告!
/topics/89.htm,89,KDE Linux
/topics/102.htm,102,Kingsoft 金山
/topics/133.htm,133,Kaspersky 卡巴斯基
/topics/409.htm,409,KV 江民杀毒软件
/topics/415.htm,415,K-Meleon
/topics/426.htm,426,Kodak 柯达
/topics/448.htm,448,科学探索
/topics/476.htm,476,Kingsoft 金山快快
/topics/481.htm,481,Kanbox 酷盘
/topics/28.htm,28,历史 - Messenger Plus!
/topics/40.htm,40,历史 - Macromedia
/topics/44.htm,44,历史 - Sun
/topics/83.htm,83,LG
/topics/84.htm,84,历史 - Napster
/topics/95.htm,95,Linux
/topics/103.htm,103,Logitech 罗技
/topics/114.htm,114,历史 - NetCaptor
/topics/120.htm,120,历史 - TGTSoft StyleXP
/topics/124.htm,124,历史 - AOL Netscape
/topics/181.htm,181,历史 - MSN Messenger
/topics/199.htm,199,历史 - Microsoft Encarta
/topics/222.htm,222,Lycos 莱科斯
/topics/239.htm,239,Lenovo 联想
/topics/269.htm,269,历史 - Windows 桌面搜索
/topics/292.htm,292,历史 - 风雷软件
/topics/296.htm,296,历史 - Mess Patch
/topics/312.htm,312,历史 - Windows Live Spaces
/topics/319.htm,319,Lingoes 灵格斯
/topics/362.htm,362,历史 - CNC 中国网通
/topics/367.htm,367,历史 - Mozilla Sunbird
/topics/405.htm,405,历史 - CoralQQ 珊瑚虫
/topics/408.htm,408,历史 - HD-DVD / EVD
/topics/434.htm,434,历史 - Sony-Ericsson 索尼爱立信
/topics/2.htm,2,MSN
/topics/4.htm,4,Microsoft 微软
/topics/7.htm,7,Microsoft Office 2003
/topics/15.htm,15,Mozilla 谋智网络
/topics/19.htm,19,媒体播放器 / 视频网站
/topics/20.htm,20,媒体播放器 - AOL Winamp
/topics/27.htm,27,Microsoft Visual Studio
